employee_id,department,salary,years_at_company,overtime,job_satisfaction,work_life_balance,training_hours,attrition
E20068,Engineering,6762,4,No,3,2,45,1
E20069,R&D,14878,13,Yes,1,4,12,1
E20070,R&D,6376,2,Yes,5,1,67,1
E20071,Sales,7009,12,Yes,4,4,39,1
E20072,R&D,3924,3,No,2,3,51,1
E20073,R&D,7944,15,Yes,5,2,62,1
E20074,HR,7508,1,Yes,4,4,16,1
E20075,HR,13540,11,No,5,3,63,0
E20076,Engineering,5444,5,No,2,4,40,1
E20077,R&D,7927,14,Yes,4,1,62,1
E20078,Engineering,12130,9,Yes,4,2,42,1
E20079,R&D,8411,11,Yes,4,3,21,1
E20080,R&D,3844,5,No,5,1,19,1
E20081,R&D,12626,12,Yes,4,2,52,1
E20082,HR,3251,4,Yes,1,4,41,1
E20083,R&D,9498,15,Yes,5,3,46,1
E20084,Engineering,10639,9,No,3,3,56,1
E20085,Engineering,10635,2,No,3,2,57,1
E20086,HR,9781,1,Yes,2,1,43,1
E20087,Engineering,7836,3,Yes,3,2,58,1
E20088,R&D,11180,9,No,3,4,72,1
E20089,Engineering,5756,12,No,2,2,79,1
E20090,Engineering,6015,15,Yes,5,1,19,1
E20091,Sales,3104,7,Yes,2,1,29,1
E20092,Sales,6583,9,No,3,1,71,1
E20093,Engineering,3257,1,No,1,1,77,1
E20094,HR,11777,5,Yes,5,4,32,1
E20095,Sales,4578,9,Yes,2,2,77,1
E20096,HR,8807,5,No,1,3,61,1
E20097,Engineering,12256,4,Yes,3,1,14,1
E20098,Sales,9640,7,No,5,4,17,0
E20099,Sales,14515,3,Yes,4,4,52,1
E20100,Sales,11653,15,Yes,2,2,70,1
E20101,HR,3762,15,Yes,3,1,32,1
E20102,HR,3256,4,Yes,4,1,48,1
E20103,R&D,12239,4,No,5,3,59,0
E20104,R&D,14293,12,Yes,5,3,16,1
E20105,Sales,10161,4,Yes,3,4,51,1
E20106,Sales,13389,5,No,4,2,55,1
E20107,Engineering,10075,3,No,1,3,41,1
E20108,Sales,4344,5,Yes,4,2,59,1
E20109,HR,8909,2,Yes,1,3,66,1
E20110,HR,7419,2,Yes,1,2,65,1
E20111,Engineering,12125,9,No,1,1,21,1
E20112,HR,12080,2,No,4,1,47,1
E20113,Engineering,9353,13,Yes,5,2,76,1
E20114,R&D,14228,7,Yes,2,3,48,1
E20115,HR,11079,3,Yes,2,4,45,1
E20116,Engineering,7911,8,Yes,3,3,41,1
E20117,Engineering,12728,10,Yes,4,1,27,1
E20118,HR,3110,7,No,5,4,52,0
E20119,Engineering,8484,7,Yes,3,3,35,1
E20120,Engineering,8147,3,No,3,3,72,1
E20121,R&D,8339,7,No,4,3,24,1
E20122,R&D,12703,9,Yes,5,1,69,1
E20123,R&D,10183,13,No,1,4,73,1
E20124,R&D,13376,5,Yes,3,2,64,1
E20125,Engineering,4211,8,No,5,4,78,0
E20126,Engineering,11907,1,No,5,1,23,1
E20127,R&D,13774,11,No,2,1,61,1
E20128,HR,10052,2,Yes,1,3,38,1
E20129,R&D,10303,6,No,4,2,54,1
E20130,Sales,10909,2,No,4,1,24,1
E20131,R&D,8707,5,No,4,2,76,1
E20132,Engineering,8706,8,Yes,4,4,50,1
E20133,Sales,7919,1,Yes,1,3,23,1
E20134,R&D,6996,9,Yes,5,2,52,1
E20135,Engineering,10570,4,No,2,2,65,1
E20136,Engineering,3478,12,Yes,4,4,59,1
E20137,Sales,14546,4,Yes,3,1,23,1
E20138,R&D,8993,6,Yes,4,1,43,1
E20139,Engineering,11646,11,No,5,4,60,0
E20140,Sales,8700,6,No,5,2,48,1
E20141,Sales,14011,3,No,1,2,49,1
E20142,Sales,5999,6,Yes,5,4,63,1
E20143,R&D,12417,7,No,2,4,78,1
E20144,R&D,12091,3,No,3,2,33,1
E20145,HR,10389,10,Yes,3,1,72,1
E20146,R&D,6196,14,No,5,4,62,0
E20147,Engineering,9809,12,No,4,2,20,1
E20148,Sales,6613,5,Yes,3,2,78,1
E20149,HR,5755,13,No,5,4,80,0
E20150,Sales,12383,2,No,5,3,79,0
E20151,Sales,14779,8,Yes,4,1,41,1
E20152,HR,3528,8,No,3,1,66,1
E20153,Sales,6882,4,No,5,4,31,0
E20154,R&D,6385,14,Yes,1,3,78,1
E20155,HR,12778,9,Yes,3,3,47,1
E20156,HR,11428,15,Yes,2,4,17,1
E20157,HR,13746,3,Yes,2,2,51,1
E20158,R&D,14079,7,No,2,3,63,1
E20159,Engineering,10405,2,Yes,4,3,57,1
E20160,Engineering,10996,6,Yes,1,4,55,1
E20161,Sales,11756,7,Yes,4,2,73,1
E20162,HR,8289,14,No,3,2,72,1
E20163,HR,14182,13,Yes,1,1,68,1
E20164,Sales,5035,15,Yes,4,4,10,1
E20165,Engineering,6314,12,Yes,3,2,45,1
E20166,Sales,13724,6,No,1,3,31,1
E20167,Sales,9493,11,No,2,4,21,1
E20168,Sales,3017,4,No,1,2,38,1
E20169,Engineering,3152,1,No,1,4,26,1
E20170,Engineering,4160,4,No,1,1,23,1
E20171,HR,9022,15,No,2,4,27,1
E20172,R&D,4120,9,Yes,5,2,66,1
E20173,HR,14836,4,Yes,4,4,37,1
E20174,Sales,4646,3,Yes,5,4,54,1
E20175,Engineering,8152,13,Yes,2,3,20,1
E20176,R&D,12066,10,No,1,3,36,1
E20177,R&D,9418,5,Yes,2,4,59,1
E20178,Sales,6949,8,Yes,5,1,56,1
E20179,HR,5162,7,No,3,2,70,1
E20180,Sales,3273,10,Yes,1,3,37,1
E20181,Sales,3990,13,No,5,3,74,1
E20182,Engineering,9939,12,No,1,2,45,1
E20183,Sales,8077,2,Yes,2,3,60,1
E20184,Sales,8081,12,No,2,1,41,1
E20185,Sales,10118,2,No,5,1,49,1
E20186,R&D,4956,1,Yes,1,2,73,1
E20187,HR,11568,9,No,2,3,26,1
E20188,HR,4934,13,Yes,3,4,44,1
E20189,Sales,7308,12,Yes,4,4,75,1
E20190,HR,3908,8,Yes,3,2,42,1
E20191,Sales,12402,11,Yes,2,1,15,1
E20192,Sales,7006,1,No,3,4,29,1
E20193,R&D,3579,9,No,2,3,41,1
E20194,Engineering,14801,6,No,1,3,25,1
E20195,Sales,5938,4,Yes,4,1,69,1
E20196,HR,8090,6,Yes,5,4,11,1
E20197,HR,6287,5,No,5,2,69,1
E20198,HR,12694,8,Yes,5,2,29,1
E20199,Sales,9718,1,Yes,5,3,11,1
E20200,HR,3023,13,No,3,1,36,1
E20201,R&D,9878,8,Yes,2,3,21,1
E20202,Sales,6792,15,No,3,4,20,1
E20203,Sales,11280,3,No,1,1,65,1
E20204,R&D,6879,5,No,3,4,51,1
E20205,HR,10417,5,Yes,1,2,27,1
E20206,Sales,5546,2,Yes,4,4,50,1
E20207,Engineering,4978,9,No,2,4,49,1
E20208,Engineering,7341,14,Yes,1,2,48,1
E20209,Sales,6522,14,No,2,1,41,1
E20210,HR,9492,9,Yes,3,3,32,1
E20211,Sales,9625,14,No,5,2,22,1
E20212,Engineering,4669,13,Yes,1,1,17,1
E20213,R&D,5141,4,No,3,1,43,1
E20214,Sales,3357,2,Yes,4,2,21,1
E20215,HR,5007,1,No,1,2,65,1
E20216,Engineering,11128,1,No,4,2,55,1
E20217,R&D,6066,5,No,4,2,14,1
E20218,R&D,13605,5,No,4,4,17,0
E20219,Sales,7583,7,Yes,4,2,77,1
E20220,R&D,13334,13,Yes,4,3,71,1
E20221,Engineering,8636,15,No,4,3,33,1
E20222,Sales,8224,10,Yes,1,3,17,1
E20223,Engineering,11674,6,Yes,2,1,41,1
E20224,R&D,7366,9,Yes,2,4,55,1
E20225,R&D,5885,4,No,3,1,55,1
E20226,R&D,12225,4,No,5,3,32,0
E20227,Engineering,3621,2,Yes,2,2,12,1
E20228,Engineering,3011,6,Yes,2,3,32,1
E20229,HR,3975,1,Yes,5,2,24,1
E20230,HR,4188,6,No,5,1,53,1
E20231,HR,8285,3,Yes,4,4,50,1
E20232,R&D,14586,9,No,2,2,58,1
E20233,HR,14280,5,Yes,2,1,60,1
E20234,Sales,5983,10,No,5,2,23,1
E20235,Engineering,5304,6,Yes,2,3,50,1
E20236,R&D,13423,15,Yes,3,4,11,1
E20237,HR,6435,4,Yes,3,3,23,1
E20238,Sales,3788,7,No,4,2,62,1
E20239,Engineering,9204,6,No,1,4,38,1
E20240,R&D,10393,2,Yes,3,1,50,1
E20241,HR,4715,2,No,2,4,30,1
E20242,Sales,11962,15,Yes,3,4,13,1
E20243,Engineering,13709,3,No,2,1,22,1
E20244,HR,6367,4,No,5,3,46,0
E20245,HR,6891,2,Yes,4,4,29,1
E20246,Sales,8911,1,No,1,3,71,1
E20247,R&D,4589,1,Yes,2,3,20,1
E20248,Engineering,4892,5,No,4,4,43,1
E20249,Sales,13516,9,No,2,3,58,1
E20250,HR,6056,8,Yes,3,4,69,1
