attendance,study_hours,assignments_completed,midterm_score,project_score,final_score,pass_fail
93.7,6.2,9,46.3,44.3,66.4,1
74.4,2.5,9,33.2,82.1,58.7,1
58.6,3.4,4,87.5,45.8,52.9,0
91.8,3.8,1,38.0,75.7,51.7,0
53.2,7.7,5,86.8,98.9,68.0,1
66.2,29.3,9,68.2,59.3,87.2,1
60.7,3.3,2,53.5,47.2,39.1,0
70.8,21.5,8,41.6,54.6,70.8,1
56.7,24.1,10,72.9,86.7,81.5,1
74.3,2.2,2,94.8,82.4,60.5,1
64.2,21.4,7,78.5,52.4,74.5,1
76.2,13.5,2,72.7,42.3,54.3,0
75.0,28.6,10,87.9,58.1,90.2,1
77.9,7.4,8,98.4,77.1,79.4,1
99.3,16.2,7,83.9,79.6,82.7,1
59.7,24.3,10,89.1,94.7,91.1,1
58.0,27.8,0,75.1,57.1,62.7,1
66.7,24.5,7,33.0,84.4,77.2,1
58.8,24.0,7,66.0,44.3,67.8,1
72.2,18.2,6,43.9,80.6,68.1,1
88.9,11.1,1,46.6,64.8,53.0,0
94.6,4.1,9,63.9,93.4,73.5,1
96.4,14.7,6,56.1,67.5,70.1,1
67.9,9.6,5,38.9,81.5,55.2,1
56.8,25.8,7,59.3,85.6,75.6,1
64.8,6.4,10,96.7,94.3,80.1,1
77.6,8.4,6,90.0,69.4,74.0,1
79.6,25.4,4,31.0,65.7,70.5,1
62.4,14.2,3,92.4,75.5,63.7,1
78.7,2.1,0,32.8,68.2,43.7,0
51.7,16.9,7,86.7,81.8,70.9,1
74.8,4.3,0,78.5,64.4,48.5,0
67.9,8.7,1,31.1,80.1,45.5,0
73.0,18.0,9,31.7,67.3,72.6,1
93.7,13.4,5,73.9,82.2,71.4,1
81.4,12.8,5,67.2,57.8,67.6,1
84.9,19.2,9,85.6,87.3,85.8,1
94.0,22.6,0,66.0,94.6,72.6,1
52.6,12.7,7,73.3,61.9,61.8,1
77.9,3.9,3,39.7,60.1,48.9,0
82.5,22.6,9,91.0,82.2,93.4,1
88.0,11.0,4,65.2,65.4,61.4,1
68.6,14.7,8,66.9,47.4,69.4,1
83.9,16.9,4,61.6,62.1,68.6,1
84.7,29.4,1,43.2,93.0,70.6,1
69.5,7.0,1,37.7,56.6,45.4,0
74.8,26.5,8,96.6,41.4,82.8,1
84.1,28.1,7,54.3,66.6,82.8,1
64.6,3.8,3,88.4,71.2,55.8,1
78.9,20.4,5,64.0,80.0,75.1,1
77.4,14.8,9,39.2,87.4,71.9,1
63.0,15.6,4,83.9,42.8,60.4,1
72.8,6.7,2,79.8,57.1,58.7,1
92.0,21.4,10,85.6,49.7,84.1,1
99.7,18.1,7,48.2,51.1,73.8,1
51.7,10.9,5,40.4,66.9,56.9,1
76.7,5.4,0,58.3,70.0,46.3,0
72.9,11.0,0,97.9,72.8,61.2,1
82.4,10.3,4,97.9,85.2,77.4,1
83.3,24.4,7,53.7,46.7,74.3,1
52.0,21.0,1,51.6,64.1,57.7,1
72.3,4.6,0,72.6,51.7,46.8,0
89.1,23.5,3,31.6,72.3,67.4,1
83.6,4.4,8,57.6,69.4,66.6,1
75.6,3.6,10,55.3,48.9,65.5,1
68.5,12.4,4,54.1,58.5,57.1,1
78.1,8.0,7,81.9,64.9,68.8,1
58.2,22.4,6,81.0,64.9,76.3,1
79.9,6.0,4,63.2,92.1,67.7,1
53.3,28.9,6,36.2,64.6,71.9,1
70.7,17.6,9,82.9,48.2,73.5,1
69.1,17.5,0,87.6,58.1,61.1,1
74.7,22.7,3,31.9,40.1,55.3,1
97.8,25.4,7,38.7,80.0,80.8,1
59.0,27.4,10,47.1,47.2,73.7,1
99.7,3.9,5,70.7,73.9,69.9,1
81.4,15.3,1,56.1,84.0,58.8,1
63.0,18.3,2,52.4,92.7,60.5,1
58.2,9.6,6,74.5,97.3,65.0,1
64.6,19.9,1,66.0,86.0,61.9,1
54.7,23.1,8,52.6,59.0,73.2,1
90.0,9.6,5,36.7,74.8,65.1,1
50.6,16.5,5,84.5,64.7,69.1,1
58.2,8.1,8,45.5,51.3,59.6,1
80.7,25.3,8,89.2,82.8,92.4,1
90.1,13.7,1,38.2,47.9,48.8,0
67.4,21.3,2,87.2,93.4,74.8,1
88.2,11.6,4,32.0,88.9,61.3,1
92.8,6.0,3,51.5,52.6,58.7,1
71.2,23.4,1,35.4,86.5,65.0,1
52.1,5.0,10,65.9,43.6,55.9,1
62.7,3.9,10,30.7,45.8,51.1,0
